dataset,image,prompt,iou,dice,infer_ms
Cracks,2056_jpg.rf.8e79813fa3c6a78cc558cb581cf47cd0.jpg,segment crack,0.6154,0.7619,1387.6
Cracks,photo_6165758190491385217_y_jpg.rf.0551d3245fe67eeb0c172f0dc8da37c8.jpg,segment crack,0.3197,0.4845,886.1
Cracks,photo_6165758190491385221_y_jpg.rf.3b18b53ada4f8c661fabcc5ec075e75c.jpg,segment crack,0.5588,0.717,916.7
Cracks,photo_6165758190491385222_y_jpg.rf.f8f2a4d097d3ae8316c90e9362fb5ee6.jpg,segment crack,0.4897,0.6574,964.3
Drywall Taping,2000x1500_0_resized_jpg.rf.82bae8ee8cb02e45272b58e74ff1ba3b.jpg,segment taping area,0.0,0.0,1099.6
Drywall Taping,2000x1500_0_resized_jpg.rf.f80a087dab342a5f6d5f80a52e7ffdaa.jpg,segment taping area,0.0,0.0,815.6
Drywall Taping,2000x1500_13_resized_jpg.rf.df3308315d9c5036d4bc5b5be39a19f2.jpg,segment taping area,0.0,0.0,780.6
Drywall Taping,2000x1500_15_resized_jpg.rf.2936fa83463a035c70b61214a8890425.jpg,segment taping area,0.0,0.0,747.6
Drywall Taping,2000x1500_18_resized_jpg.rf.3e2773482b5888fd83cf5fa347f0b66d.jpg,segment taping area,0.0,0.0,803.9
Drywall Taping,2000x1500_18_resized_jpg.rf.521ca61e2742bdbea539635005ea1602.jpg,segment taping area,0.0,0.0,880.8
Drywall Taping,2000x1500_20_resized_jpg.rf.5417c1aa7dc580b713704d5b58663236.jpg,segment taping area,0.0,0.0,817.8
Drywall Taping,2000x1500_24_resized_jpg.rf.bfd93d5fd628ce10fb87d066333fb425.jpg,segment taping area,0.0,0.0,880.8
Drywall Taping,2000x1500_30_resized_jpg.rf.cd2a9823c30d1d75f6d1d91d1eb9a80d.jpg,segment taping area,0.0,0.0,1096.9
Drywall Taping,2000x1500_3_resized_jpg.rf.9688420a59d72a08d086013e4c81759d.jpg,segment taping area,0.0,0.0,1106.2
Drywall Taping,2000x1500_5_resized_jpg.rf.ebfac94b767165ae2ee730ef07647f11.jpg,segment taping area,0.0,0.0,719.6
Drywall Taping,2000x1500_63_resized_jpg.rf.4f901ed169e7960af87e6d195bc084f3.jpg,segment taping area,0.0,0.0,650.5
Drywall Taping,2000x1500_67_resized_jpg.rf.28f6e0995eb1cfbfddf28c99946da54d.jpg,segment taping area,0.0,0.0,640.8
Drywall Taping,2000x1500_67_resized_jpg.rf.c6a08580703062afc0a022eff3bba352.jpg,segment taping area,0.0,0.0,688.2
Drywall Taping,2000x1500_68_resized_jpg.rf.6368216576c43e90a8cb5b1a22bfc80d.jpg,segment taping area,0.0,0.0,716.4
Drywall Taping,2000x1500_68_resized_jpg.rf.76c8573a1338930251cc96ee720b058f.jpg,segment taping area,0.0,0.0,777.9
Drywall Taping,2000x1500_68_resized_jpg.rf.847c2bd25f55ee5c6af3644a2cedfa77.jpg,segment taping area,0.0,0.0,651.7
Drywall Taping,2000x1500_68_resized_jpg.rf.e856d2309b4317c36856bb1f3f735d6e.jpg,segment taping area,0.0,0.0,800.9
Drywall Taping,2000x1500_72_resized_jpg.rf.ed675b48f6e01b522a18f6856cd9232e.jpg,segment taping area,0.0,0.0,953.4
Drywall Taping,2000x1500_74_resized_jpg.rf.f04f42bb57dd0bf14cf24d352b243b73.jpg,segment taping area,0.0,0.0,957.5
Drywall Taping,2000x1500_75_resized_jpg.rf.bc89113534e16b4f835ac7ab9cedb260.jpg,segment taping area,0.0,0.0,827.9
Drywall Taping,2000x1500_78_resized_jpg.rf.6a238e0e28841aef3eca8b52dc23d750.jpg,segment taping area,0.0,0.0,632.4
