image,prompt,iou,dice,threshold,infer_ms
2000x1500_0_resized_jpg.rf.82bae8ee8cb02e45272b58e74ff1ba3b.jpg,segment taping area,0.1866,0.3145,0.2627,686.9
2000x1500_0_resized_jpg.rf.f80a087dab342a5f6d5f80a52e7ffdaa.jpg,segment taping area,0.2048,0.34,0.2588,654.2
2000x1500_13_resized_jpg.rf.df3308315d9c5036d4bc5b5be39a19f2.jpg,segment taping area,0.416,0.5876,0.1922,648.1
2000x1500_15_resized_jpg.rf.2936fa83463a035c70b61214a8890425.jpg,segment taping area,0.6697,0.8022,0.2588,611.6
2000x1500_18_resized_jpg.rf.3e2773482b5888fd83cf5fa347f0b66d.jpg,segment taping area,0.4611,0.6312,0.2784,687.1
2000x1500_18_resized_jpg.rf.521ca61e2742bdbea539635005ea1602.jpg,segment taping area,0.634,0.776,0.1725,695.6
2000x1500_20_resized_jpg.rf.5417c1aa7dc580b713704d5b58663236.jpg,segment taping area,0.3484,0.5168,0.2902,620.3
2000x1500_24_resized_jpg.rf.bfd93d5fd628ce10fb87d066333fb425.jpg,segment taping area,0.5175,0.682,0.3608,620.7
2000x1500_30_resized_jpg.rf.cd2a9823c30d1d75f6d1d91d1eb9a80d.jpg,segment taping area,0.5227,0.6866,0.3176,622.0
2000x1500_3_resized_jpg.rf.9688420a59d72a08d086013e4c81759d.jpg,segment taping area,0.2454,0.3941,0.2275,602.1
2000x1500_5_resized_jpg.rf.ebfac94b767165ae2ee730ef07647f11.jpg,segment taping area,0.1046,0.1894,0.2157,591.3
2000x1500_63_resized_jpg.rf.4f901ed169e7960af87e6d195bc084f3.jpg,segment taping area,0.2777,0.4347,0.3255,610.6
2000x1500_67_resized_jpg.rf.28f6e0995eb1cfbfddf28c99946da54d.jpg,segment taping area,0.4248,0.5963,0.2627,664.6
2000x1500_67_resized_jpg.rf.c6a08580703062afc0a022eff3bba352.jpg,segment taping area,0.5468,0.707,0.3098,681.2
2000x1500_68_resized_jpg.rf.6368216576c43e90a8cb5b1a22bfc80d.jpg,segment taping area,0.2019,0.3359,0.2549,695.4
2000x1500_68_resized_jpg.rf.76c8573a1338930251cc96ee720b058f.jpg,segment taping area,0.3776,0.5482,0.1961,797.8
2000x1500_68_resized_jpg.rf.847c2bd25f55ee5c6af3644a2cedfa77.jpg,segment taping area,0.2035,0.3382,0.1882,711.6
2000x1500_68_resized_jpg.rf.e856d2309b4317c36856bb1f3f735d6e.jpg,segment taping area,0.2346,0.38,0.3922,663.4
2000x1500_72_resized_jpg.rf.ed675b48f6e01b522a18f6856cd9232e.jpg,segment taping area,0.2055,0.3409,0.3176,630.0
2000x1500_74_resized_jpg.rf.f04f42bb57dd0bf14cf24d352b243b73.jpg,segment taping area,0.1368,0.2407,0.1529,698.2
